Log - Dec-28-2020 | 12:48:2:App just loaded apiRoutes.js
Log - Dec-28-2020 | 12:48:2:App just loaded viewRoutes.js
Log - Dec-28-2020 | 12:48:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-28-2020 | 12:50:4:App just loaded apiRoutes.js
Log - Dec-28-2020 | 12:50:4:App just loaded viewRoutes.js
Log - Dec-28-2020 | 12:50:4:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-28-2020 | 12:51:36:App just loaded apiRoutes.js
Log - Dec-28-2020 | 12:51:36:App just loaded viewRoutes.js
Log - Dec-28-2020 | 12:51:36:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-28-2020 | 12:53:45:App just loaded apiRoutes.js
Log - Dec-28-2020 | 12:53:45:App just loaded viewRoutes.js
Log - Dec-28-2020 | 12:53:45:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-28-2020 | 12:59:21:App just loaded apiRoutes.js
Log - Dec-28-2020 | 12:59:21:App just loaded viewRoutes.js
Log - Dec-28-2020 | 12:59:21:Connected to mongodb://localhost:27017/littleeinsteins
