Log - Jan-7-2021 | 1:36:48:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:36:48:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:36:48:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:37:50:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:37:50:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:37:50:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:38:15:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:38:15:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:38:15:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:39:4:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:39:4:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:39:4:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:40:7:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:40:7:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:40:7:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:40:20:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:40:20:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:40:20:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:40:39:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:40:39:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:40:39:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:43:47:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:43:47:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:43:47:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:45:16:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:45:16:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:45:16:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:45:38:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:45:38:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:45:38:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:45:43:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:45:43:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:45:43:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:47:41:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:47:41:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:47:41:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:48:23:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:48:23:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:48:23:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:48:45:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:48:45:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:48:45:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:49:20:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:49:20:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:49:20:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:49:41:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:49:41:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:49:41:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:49:59:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:49:59:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:49:59:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:50:17:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:50:17:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:50:17:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:50:43:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:50:43:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:50:43:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:51:3:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:51:3:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:51:3:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:51:43:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:51:43:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:51:43:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:52:33:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:52:33:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:52:33:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:52:41:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:52:41:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:52:41:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:53:28:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:53:28:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:53:28:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:53:50:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:53:50:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:53:50:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:54:9:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:54:9:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:54:9:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:54:21:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:54:21:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:54:21:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:54:37:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:54:37:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:54:46:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:54:46:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:54:46:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:55:11:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:55:11:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:55:11:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:55:45:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:55:45:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:55:45:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:56:56:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:56:56:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:56:56:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:57:51:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:57:51:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:57:51:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:59:2:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:59:2:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:59:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:5:20:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:5:20:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:5:20:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:10:19:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:10:19:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:10:19:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:11:6:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:11:6:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:11:6:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:35:8:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:35:8:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:35:8:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:54:43:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:54:43:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:54:43:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:58:33:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:58:33:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:58:33:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:13:41:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:13:41:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:13:41:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:14:14:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:14:14:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:14:14:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:14:54:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:14:54:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:14:54:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:15:9:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:15:9:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:15:9:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:15:24:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:15:24:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:15:24:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:15:34:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:15:34:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:15:34:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:15:45:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:15:45:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:15:45:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:17:29:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:17:29:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:17:29:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:18:29:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:18:29:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:18:29:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:19:31:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:19:31:App just loaded viewRoutes.js
