Log - Nov-8-2020 | 0:13:20:App just loaded apiRoutes.js
Log - Nov-8-2020 | 0:13:20:App just loaded viewRoutes.js
Log - Nov-8-2020 | 0:13:20:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 1:44:39:App just loaded apiRoutes.js
Log - Nov-8-2020 | 1:44:39:App just loaded viewRoutes.js
Log - Nov-8-2020 | 1:44:39:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 1:47:21:App just loaded apiRoutes.js
Log - Nov-8-2020 | 1:47:21:App just loaded viewRoutes.js
Log - Nov-8-2020 | 1:47:21:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 1:48:47:App just loaded apiRoutes.js
Log - Nov-8-2020 | 1:48:47:App just loaded viewRoutes.js
Log - Nov-8-2020 | 1:48:47:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 1:49:6:App just loaded apiRoutes.js
Log - Nov-8-2020 | 1:49:6:App just loaded viewRoutes.js
Log - Nov-8-2020 | 1:49:6:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 2:15:54:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 2:16:46:App just loaded apiRoutes.js
Log - Nov-8-2020 | 2:16:46:App just loaded viewRoutes.js
Log - Nov-8-2020 | 2:16:46:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 2:17:13:App just loaded apiRoutes.js
Log - Nov-8-2020 | 2:17:13:App just loaded viewRoutes.js
Log - Nov-8-2020 | 2:17:13:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 2:18:3:App just loaded apiRoutes.js
Log - Nov-8-2020 | 2:18:3:App just loaded viewRoutes.js
Log - Nov-8-2020 | 2:18:3:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 2:19:7:App just loaded apiRoutes.js
Log - Nov-8-2020 | 2:19:7:App just loaded viewRoutes.js
Log - Nov-8-2020 | 2:19:7:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-8-2020 | 2:19:50:App just loaded apiRoutes.js
Log - Nov-8-2020 | 2:19:50:App just loaded viewRoutes.js
Log - Nov-8-2020 | 2:19:50:Connected to mongodb://localhost:27017/littleeinsteins
